underlying,ts,bid,ask,spot,runbet_spot
frxAUDJPY,2014-04-29 16:22:18,95.037,95.048,95.041,95.041
frxAUDJPY,2014-04-29 16:22:19,95.031,95.06,95.046,95.046
frxAUDJPY,2014-04-29 16:22:20,95.039,95.051,95.045,95.045
frxAUDJPY,2014-04-29 16:22:21,95.027,95.055,95.04,95.04
frxAUDJPY,2014-04-29 16:22:22,95.028,95.051,95.04,95.04
frxAUDJPY,2014-04-29 16:22:23,95.038,95.049,95.042,95.042
frxAUDJPY,2014-04-29 16:22:24,95.03,95.052,95.041,95.041
frxAUDJPY,2014-04-29 16:22:25,95.032,95.043,95.038,95.038
frxAUDJPY,2014-04-29 16:22:26,95.028,95.04,95.034,95.034
frxAUDJPY,2014-04-29 16:22:27,95.026,95.037,95.032,95.032
frxAUDJPY,2014-04-29 16:22:28,95.027,95.038,95.032,95.032
frxAUDJPY,2014-04-29 16:22:30,95.028,95.042,95.035,95.035
frxAUDJPY,2014-04-29 16:22:31,95.029,95.043,95.035,95.035
frxAUDJPY,2014-04-29 16:22:32,95.016,95.046,95.032,95.032
frxAUDJPY,2014-04-29 16:22:33,95.03,95.041,95.034,95.034
frxAUDJPY,2014-04-29 16:22:34,95.032,95.039,95.034,95.034
frxAUDJPY,2014-04-29 16:22:35,95.028,95.041,95.035,95.035
frxAUDJPY,2014-04-29 16:22:36,95.031,95.042,95.036,95.036
frxAUDJPY,2014-04-29 16:22:37,95.035,95.042,95.038,95.038
frxAUDJPY,2014-04-29 16:22:38,95.026,95.045,95.035,95.035
frxAUDJPY,2014-04-29 16:22:39,95.01,95.11,95.05,95.05
frxAUDJPY,2014-04-29 16:22:40,95.03,95.043,95.041,95.041
frxAUDJPY,2014-04-29 16:22:42,95.019,95.049,95.035,95.035
frxAUDJPY,2014-04-29 16:22:44,95.025,95.051,95.036,95.036
frxAUDJPY,2014-04-29 16:22:45,95.03,95.04,95.035,95.035
frxAUDJPY,2014-04-29 16:22:46,95.036,95.042,95.038,95.038
frxAUDJPY,2014-04-29 16:22:47,95.022,95.053,95.038,95.038
frxAUDJPY,2014-04-29 16:22:49,95.029,95.044,95.037,95.037
frxAUDJPY,2014-04-29 16:22:50,95.031,95.046,95.038,95.038
